homeShotsTotalFT,awayShotsTotalFT,homeShotsOnTargetFT,awayShotsOnTargetFT,homeInterceptionsFT,awayInterceptionsFT,homeTacklesTotalFT,awayTacklesTotalFT,homeTackleSuccessFT,awayTackleSuccessFT,homeFoulsCommitedFT,awayFoulsCommitedFT,homePassesKeyFT,awayPassesKeyFT,homePassSuccessFT,awayPassSuccessFT,homePossessionFT,awayPossessionFT,homeDribbleSuccessFT,awayDribbleSuccessFT,homeAerialsTotalFT,awayAerialsTotalFT,homeCornersTotalFT,awayCornersTotalFT,division
21,11,10,2,21,34,34,18,75,75,12,11,14,9,66.73,73.69,47.65,52.35,38.89,47.22,22,22,7,4,EPL
10,11,2,5,14,11,22,26,88.89,86.96,12,10,7,6,80.95,75.78,53.71,46.29,31.82,27.27,15,15,8,6,EPL
19,15,6,6,5,15,25,20,75,73.53,12,8,16,11,69.7,74.86,39.82,60.18,45,66.67,19,19,3,5,EPL
14,11,5,2,23,24,24,23,79.55,63.54,11,10,10,8,64.96,78.43,45.98,54.02,63.33,27.78,36,36,3,3,EPL
16,8,4,4,7,19,25,37,71.93,61.61,10,14,13,5,77.44,61.07,53.2,46.8,66.18,40,48,48,14,4,EPL
12,16,4,7,18,21,42,37,64.44,90,9,9,9,12,65.53,67.97,46.4,53.6,26.92,65.79,27,27,1,4,EPL
14,27,6,13,13,11,34,23,77.59,72.5,12,8,12,19,58.58,76.71,43.19,56.81,39.29,43.33,34,34,6,12,EPL
24,7,9,3,19,11,24,25,73.81,72.5,12,17,18,3,73.49,68.19,48.02,51.98,50,46.15,19,19,9,7,EPL
21,14,12,5,18,20,20,23,81.25,83.33,8,8,19,6,66.89,55.9,55.47,44.53,38.89,60,51,51,9,10,EPL
19,1,7,0,14,19,14,31,80.77,69,5,14,17,1,83.5,57.1,62.17,37.83,44.74,50,21,21,7,3,EPL
21,7,7,3,33,15,31,23,70.67,61.67,7,16,15,5,71.49,52.86,63.63,36.37,61.54,57.69,40,40,6,3,EPL
9,12,2,3,6,10,32,24,76.79,90.48,12,12,6,10,58.54,64.3,53.35,46.65,28.57,50,47,47,4,2,EPL
18,10,5,5,3,17,28,27,73.91,79.35,9,14,11,7,74.74,67.14,53.21,46.79,26.39,42.86,36,36,7,3,EPL
21,17,10,6,14,15,18,17,94.12,90,13,10,19,14,66.46,67.66,48.46,51.54,37.5,25,22,22,6,4,EPL
12,17,6,5,13,21,31,27,79.35,50.79,9,17,9,12,75.7,68.32,58.17,41.83,63.73,55,34,34,7,7,EPL
14,8,6,6,29,16,27,32,78,76.79,12,15,9,7,76.1,69.53,53.06,46.94,38.24,45.83,11,11,4,3,EPL
11,11,4,2,17,19,33,20,67.39,70.59,21,13,7,8,60.23,74.08,41.55,58.45,46.15,53.33,42,42,4,6,EPL
20,10,4,3,20,3,20,31,68.42,66,7,10,15,6,77.63,55.47,58,42,52.78,85.71,46,46,9,4,EPL
7,17,0,7,15,14,27,15,88.1,71.43,9,12,5,15,53.46,76.47,38.22,61.78,80,25,40,40,2,9,EPL
10,15,5,3,19,12,22,25,80.56,77.27,17,10,9,13,66.85,71.31,46.09,53.91,55,56.25,42,42,7,5,EPL
14,14,3,6,26,21,28,32,79.55,73.21,11,6,9,12,59.1,67.45,48.6,51.4,50,38.46,36,36,2,4,EPL
19,13,6,5,9,20,29,16,75,80.56,14,10,13,8,69.52,67.83,55.17,44.83,29.17,42.86,34,34,5,5,EPL
15,9,6,2,14,14,30,24,68.84,72.5,20,5,14,6,71.19,72.31,45.36,54.64,34.38,48.96,25,25,6,6,EPL
17,8,4,3,22,28,35,19,76.67,78.12,11,13,11,7,72.85,66.41,53.66,46.34,40,72.73,18,18,4,2,EPL
14,11,4,3,14,23,28,35,79.55,80.25,13,15,8,9,61.07,68.46,43.2,56.8,32.5,39.29,42,42,7,3,EPL
26,8,7,3,21,25,28,31,70.29,53.7,7,10,23,8,83.17,63.66,64.33,35.67,64.29,68.18,27,27,12,3,EPL
25,5,7,3,10,21,29,32,60.87,74.67,10,11,17,4,69.64,61.8,58.94,41.06,56.94,73.08,25,25,13,5,EPL
35,3,10,2,18,25,18,29,77.78,56,7,9,23,3,80.01,71.09,52.24,47.76,57.5,40,16,16,10,1,EPL
18,10,5,3,20,13,33,25,87.18,56.82,6,11,12,6,69.35,59.93,53.06,46.94,52.78,37.5,36,36,11,5,EPL
